Aartsenia japonica	コシダカドウマルクチキレ
Coccobius odonaspidis	タケシロマルクロムネツヤコバチ
Coccocarpia cronia	コナカワラゴケ
Coccocarpia erythroxyli	カワラゴケ
Coccocarpia fenicis	チヂレバカワラゴケ
Coccocarpia palmicola	コナカワラゴケ
Coccocarpia parmelioides	シラチャカワラゴケ
Coccocarpia pellita	チヂレバカワラゴケ
Coccoidea quercicola	コクコイデア・ケルキコラ
Coccophagus hawaiiensis	ルビークロヤドリコバチ
Coccophagus ishiii	イシイクロヤドリコバチ
Coccophagus yoshidae	カイガラクロコバチ
Coccophora langsdorfii	スギモク
Coccopigya okutanii	コバンワタゾコシロガサ
Coccopigya punctoradiata	ミソノワタゾコシロガサ
Coccorella atlantica	ヤリエソ
Coccorella atlantica	ヤリエソ
Coccorella atlrata	ミナミヤリエソ
Coccorella atrata	ミナミヤリエソ
Coccorella atrata	ミナミヤリエソ
Coccothraustes abeillei	ズグロシメ
Coccothraustes affinis	キバシキンクロシメ
Coccothraustes carnipes	クロシメ
Coccothraustes coccothraustes	シメ
Coccothraustes coccothraustes japonicus	シメ
Coccothraustes coccothrautes	シメ
Coccothraustes icterioides	キンクロシメ
Coccothraustes melanozanthos	キバラクロシメ
Coccothraustes migratorius	コイカル
Coccothraustes personatus	イカル
Coccothraustes vespertinus	キビタイシメ
Coccotrema cucurbitula	アナツブゴケ
Coccotrema porinopsis	トゲアナツブゴケ
Cocculina japonica	ワタゾコシロガサ
Cocculina japonica japonica	ワタゾコシロガサ
Cocculina japonica uncinata	ワシバナワタゾコシロガサ
Cocculina japonica unicinata	ワシバナワタゾコシロガサガイ
Cocculina nipponica	ニッポンワタゾコシロガサガイ
Cocculina pacifica	ダイオウワタゾコシロガサ
Cocculina punctoradiata	ミソノワタゾコシロガサ
Cocculina surugaensis	キヌカツギワタゾコシロガサ
Cocculina tenuitesta	ウスワタゾコシロガサ
Cocculina tosaensis	カムリワタゾコシロガサ
Cocculus laurifolius	イソヤマアオキ
Cocculus orbiculatus	アオツヅラフジ
Cocculus orbitaculatus	アオツヅラフジ
Cocculus trilobus	アオツヅラフジ
Coccus hesperidum	ヒラタカタカイガラムシ
Coccygomimus alboannulatus	シロモンヒラタヒメバチ
Coccygomimus luctuosus	マイマイヒラタヒメバチ
Coccygomimus nipponicus	チビキアシヒラタヒメバチ
Coccygomimus parnarae	イチモンジヒラタヒメバチ
Coccyzus americanus	キバシカッコウ
Coccyzus cinereus	ハイイロアメリカカッコウ
Coccyzus erythrophthalmus	ハシグロカッコウ
Coccyzus euleri	ギンムネカッコウ
Coccyzus lansbergi	ハイズキンカッコウ
Coccyzus melacoryphus	コミミグロカッコウ
Coccyzus minor	マングローブカッコウ
Coccyzus pumilus	ヒメアメリカカッコウ
Cochearia oblongifolia	トモシリソウ
Cochlearia armoracia	セイヨウワサビ
Cochlearia oblongifolia	トモシリソウ
Cochlearia officinalis oblongifolia	トモシリソウ
Cochlearius cochlearius	ヒロハシサギ
Cochlespira kuroharae	クロハラテンジククダマキ
Cochlespira pulchela pulcherrissima	テンジククダマキ
Cochlespira pulchella pulcherissima	テンジククダマキ
Cochlespira pulchella pulcherrissima	テンジククダマキ
Cochlespira pulchella pulcherrrissima	テンジククダマキ
Cochlicella acuta	トウガタコマイマイ
Cochlicopa lubrica	ハチジョウヤマボタル
Cochlicopa lubrica hachijoensis	ハチジョウヤマボタル
Cochlochila conchata	エグリグンバイ
Cochlodinium flavum	タワラハダカオビムシ
Cochlostyla camelopardalis	ハデタケノコマイマイ
Cochlostyla vivgata	タケノコマイマイ
Cochoa azurea	ルリミヤマツグミ
Cochoa purpurea	ムラサキミヤマツグミ
Cochoa viridis	ミドリミヤマツグミ
Cochylimorpha jaculana	クサビホソハマキ
Cociella crocodila	イネゴチ
Cociella crocodila	イネゴチ
Cociella crocodiles	イネゴチ
Cociella punctata	ミナミイネゴチ
Coclachne japonica	ヒナザサ
Cocos nucifera	ココヤシ
Cocotropus izuensis	イズオコゼ
Cocotropus izuensis	イズオコゼ
Cocotropus kagoshimensis	カゴシマオコゼ
Cocotropus keramaensis	ケラマオコゼ
Cocotropus keramaensis	ケラマオコゼ
Cocotropus larvatus	ヒョットコオコゼ
Cocotropus larvatus	ヒョットコオコゼ
Cocotropus masudai	マスダオコゼ
Cocotropus masudai	マスダオコゼ
Cocotropus possi	ヒゲモジャオコゼ
Cocotropus possi	ヒゲモジャオコゼ
Coculina nipponica	ニッポンワタゾコシロガサ
Coculina punctoradiata	ミソノワタゾコシロガサ
Coculina subcingulata	チドリワタゾコシロガサ
Coculus trilobus	アオツヅラフジ
Codakia distinguenda	ウチマカツキガイ
Codakia orbicularis	トウブツキガイ
Codakia orbiculata	トウブツキガイ
Codakia paytenorum	ウラキツキガイ
Codakia punctata	クチベニツキガイ
Codakia tigerina	ツキガイ
Codakia tigerna	ツキガイ
Codariocalyx microphyllus	ヒメノハギ
Codariocalyx motorius	マイハギ
Codium adhaerens	ハイミル
Codium arabicum	ナンバンハイミル
Codium barbatum	ヒゲミル
Codium coactum	ネザシミル
Codium coarctatum	ネザシミル
Codium contractum	サキブトミル
Codium cylindricum	クズレミル
Codium divaricatum	クロミル
Codium formosanum	タカサゴミル
Codium fragile	ミル
Codium intricatum	モツレミル
Codium latum	ヒラミル
Codium lucasii	ハイミル
Codium mamillosum var. minus	タマミル
Codium minus	タマミル
Codium minus th	タマミル
Codium pugniformis	コブシミル
Codium saccatum	フクロミル
Codium spongiosum	コブシミル
Codium subtubulosum	クロミル
Codium tenue	イトミル
Codium tomentosum	イモセミル
Codium yezoense	エゾミル
Codonacanthus pauciflorus	アリモリソウ
Codonellina montferrandii	トガリバヒラタコケムシ
Codonellopsis morchella	トックリカラムシ
Codonellopsis ostenfeldi	アナトックリカラムシ
Codonophilum oxyrhynchaenus	ソコウオノエ
Codonophilus oxyrhynchaenus	ソコウオノエ
Codonophilus trigonocephalus	シマアジノエ
Codonopsis lanceolata	ツルニンジン
Codonopsis lanceolata var. lanceolata	ツルニンジン
Codonopsis lanceolata var. omurae	シブカワニンジン
Codonopsis lancevlata	ツルニンジン
Codonopsis lancifolia	タンゲブ
Codonopsis ussuriensis	バアソブ
Coecella chinensis	クチバガイ
Coecella turgida	スキクチバガイ
Coeia ijimai	イイジマヒモムシ
Coelachne japonica	ヒナザサ
Coelambus chinensis	シマケシゲンゴロウ
Coelarthrum muelleri	フクロツナギ
Coelarthrum opuntia	フクロツナギ
Coeliccia flavicauda	マサキルリモントンボ
Coeliccia flavicauda masakii	マサキルリモントンボ
Coeliccia ryukyuensis amamii	アマミルリモントンボ
Coeliccia ryukyuensis ryukyuensis	リュウキュウルリモントンボ
Coelichneumon centummaculatus	ジュウニホシヒメバチ
Coelichneumon cyaniventris	シロオビムラサキヒメバチ
Coelichneumon dubius	アマヒトリヤドリヒメバチ
Coelichneumon falsificus	サキグロヒメバチ
Coelichneumon lividusus	アオシリヒメバチ
Coelichneumon nipponicus	スグリナミシャクヤドリヒメバチ
Coelichneumon octoguttatus	ヤッボシヒメバチ
Coelidia insularis	モンキオモナガヨコバイ
Coeligena bonapartei	キンバラインカハチドリ
Coeligena coeligena	ブロンズインカハチドリ
Coeligena helianthea	ゴシキインカハチドリ
Coeligena iris	ニジインカハチドリ
Coeligena lutetiae	モンツキインカハチドリ
Coeligena orina	ミドリインカハチドリ
Coeligena phalerata	オジロインカハチドリ
Coeligena prunellei	クロインカハチドリ
Coeligena torquata	シロエリインカハチドリ
Coeligena violifer	ルリノドインカハチドリ
Coeligena wilsoni	チャイロインカハチドリ
Coelinidea hordeicola	ムギキモグリバエコマユバチ
Coeliodes brunneus	チャイロアカサルゾウムシ
Coeliodes galloisi	ガロアアカサルゾウムシ
Coeliodes nakanoensis	オビアカサルゾウムシ
Coeliodinus brunneus	チャイロアカサルゾウムシ
Coelioxys acuminata	ヒメトガリハナバチ
Coelioxys brevis	チビトガリハナバチ
Coelioxys fenestrata	トガリハナバチ
Coelioxys formosicola	ホシトガリハナバチ
Coelioxys hiroba	ヒロバトガリハナバチ
Coelioxys inermis	ヒメトガリハナバチ
Coelioxys sakamotorum	ウロコトガリハナバチ
Coelioxys yanonis	ヤノトガリハナバチ
Coelogiossum viride var. bracteatum	アオチドリ
Coeloglossum viride var. bacteatum	アオチドリ
Coeloglossum viride var. bracteatum	アオチドリ
Coeloides japonicus	ヤチダモキクイコマユバチ
Coeloides ungularis watanabei	オオキクイコマユバチ
Coelomactra antiguata	アリソガイ
Coelomactra antiquata	アリソガイ
Coelopa frigida	ハマベバエ
Coelophrys bradburyae	ワカタカユメソコグツ
Coelophrys bradburyae	ワカタカユメソコグツ
Coelophrys brevicaudata	ユメソコグツ
Coelophrys brevicaudata	ユメソコグツ
Coelophrys brevipes	ダルマユメソコグツ
Coelophrys micropa	トゲユメソコグツ
Coeloplana bocki	クラゲムシ
Coelopleurum gmelinii	エゾノシシウド
Coelopleurum lucidum	エゾノシシウド
Coelopleurum lucidum var. gmelinii	エゾノシシウド
Coelopleurum lucidum var. trichocarpum	エゾヤマゼンゴ
Coelopleurum multisectum	ミヤマゼンコ
Coelopleurum multisectum f. multisectum	ミヤマゼンコ
Coelopleurus longicollis	ハリナガアズマウニ
Coelopleurus maculatus	ベンテンウニ
Coelopleurus undulatus	ヤマトベンテンウニ
Coelops frithi	オナシカグラコウモリ
Coelops robinsoni	マラヤオナシカグラコウモリ
Coelorhynchus anatirostris	ネズミヒゲ
Coelorhynchus hubbsi	モヨウヒゲ
Coelorhynchus japonicus	トウジン
Coelorhynchus kamoharai	イチモンジヒゲ
Coelorhynchus kishinouyei	ムグラヒゲ
Coelorhynchus longissimus	トンガリヒゲ
Coelorhynchus multispinulosus	ヤリヒゲ
Coelorhynchus productus	テングヒゲ
Coeloricus hubbsi	モヨウヒゲ
Coelorinchus anatirostris	ネズミヒゲ
Coelorinchus aspercephalus	ミネナシトウジン
Coelorinchus asteroides	ホシヒゲ
Coelorinchus bollonsi	ボロンズソコダラ
Coelorinchus brevirostris	ツマリヒゲ
Coelorinchus cingulatus	クラカケソコダラ
Coelorinchus divergens	ハナレヒゲ
Coelorinchus fasciatus	チコソコダラ
Coelorinchus formosanus	タイワンソコダラ
Coelorinchus fuscigulus	シマソコダラ
Coelorinchus gilberti	オニヒゲ
Coelorinchus hexafasciatus	ムスジソコダラ
Coelorinchus hubbsi	モヨウヒゲ
Coelorinchus hubbsi	モヨウヒゲ
Coelorinchus innotabilis	カエルソコダラ
Coelorinchus japonicus	トウジン
Coelorinchus jordani	キュウシュウヒゲ
Coelorinchus kaiyomaru	カイヨウマルソコダラ
Coelorinchus kamoharai	イチモンジヒゲ
Coelorinchus kamoharai	イチモンジヒゲ
Coelorinchus kishinouyei	ムグラヒゲ
Coelorinchus longissimus	トガリヒゲ
Coelorinchus longissimus	トンガリヒゲ
Coelorinchus matamua	マタムアソコダラ
Coelorinchus matsubarai	マトウヒゲ
Coelorinchus mirus	ミルソコダラ
Coelorinchus multispinulosus	ヤリヒゲ
Coelorinchus multispinulosus	ヤリヒゲ
Coelorinchus oliverianus	オオメギンソコダラ
Coelorinchus parallelus	ソロイヒゲ
Coelorinchus productus	テングヒゲ
Coelorinchus sheni	トラヒゲ
Coelorinchus smithi	キシュウヒゲ
Coelorinchus smithi	キシュウヒゲ
Coelorinchus sparsilepis	マバラヒゲ
Coelorinchus tokiensis	ミヤコヒゲ
Coeloseris mayeri	ヨロンキクメイシ
Coelosia fuscicauda	クロコエダキノコバエ
Coelosterrus nigror	クロマダラクチカクシゾウムシ
Coelostoma orbiculare	ヒメセマルガムシ
Coelostoma stultum	セマルガムシ
Coelostome stultum	セマルガムシ
Coelotes corasides	ヤマヤチグモ
Coelotes exitialis	クロヤチグモ
Coelotes hamamurai	フタバヤチグモ
Coelotes internus	ヒメシモフリヤチグモ
Coelotes kitazawai	アズマヤチグモ
Coelotes micado	ミカドヤチグモ
Coelotes musashiensis	ムサシヤチグモ
Coelotes personatus	カメンヤチグモ
Coelotes tumidivulva	デベソヤチグモ
Coelotes yaginumai	カミガタヤチグモ
Coenagrion ecornutum	キタイトトンボ
Coenagrion hylas	カラフトイトトンボ
Coenagrion lanceolatum	エゾイトトンボ
Coenagrion terue	オゼイトトンボ
Coendou bicolor	フタイロオマキヤマアラシ
Coendou insidiosus	オグロキノボリヤマアラシ
Coendou mexicanus	メキシコキノボリヤマアラシ
Coendou prehensilis	オマキヤマアラシ
Coendou spinosus	ミナミキノボリヤマアラシ
Coendou vestitus	コロンビアキノボリヤマアラシ
Coendou villosus	チャイロキノボリヤマアラシ
Coenobia orientalis	テンスジウスキヨトウ
Coenobiodes granitaris	ヒノキカワモグリガ
Coenobita cavipes	オカヤドカリ
Coenobita purpureus	ムラサキオカヤドカリ
Coenobita rugosus	ナキオカヤドカリ
Coenobius obscuripennis	ウスアカヒメツツハムシ
Coenobius piceipes	クロアシヒメツツハムシ
Coenobius piceus	クロヒメツツハムシ
Coenobius sulcicollis	ムネミゾヒメツツハムシ
Coenobius sulucicollis	ムネミゾヒメツツハムシ
Coenocorypha aucklandica	ムカシジシギ
Coenogonium boninense	オガサワラスミレモモドキ
Coenogonium kawanae	ヒメダイダイサラゴケ
Coenogonium luteum	ダイダイサラゴケ
Coenogonium nigromaculatum	スミレモモドキ
Coenogonium nigropunctatum	スミレモモドキ
Coenogonium pineti	コツブダイダイサラゴケ
Coenogonium subluteum	ウスチャサラゴケ
Coenogonium wrightii	ライトダイダイサラゴケ
Coenomyia basalis	ネグロクサアブ
Coenonia anatina	コエノニア・アナティナ
Coenonica lewisia	ムナクボヒラナガハネカクシ
Coenonica sharpi	アカフタミゾチビハネカクシ
Coenonympha hero	シロオビヒメヒカゲ
Coenonympha hero heoperseis	シロオビヒメヒカゲ
Coenonympha hero latifasciata	シロオビヒメヒカゲ
Coenonympha hero neoperseis	シロオビヒメヒカゲ
Coenonympha hero perseis	シロオビヒメヒカゲ
Coenonympha oedippus	ヒメヒカゲ
Coenonympha oedippus annulifer	ヒメヒカゲ
Coenonympha oedippus annuliter	ヒメヒカゲ
Coenonympha oedippus arothius	ヒメヒカゲ
Coereba flaveola	マミジロミツドリ
Cofana spectra	シロオオヨコバイ
Coffea arabica	コーヒーノキ
Coganargiope amoena	コガネグモ
Coilia ectenes	チョウセンエツ
Coilia mystus	エツ
Coilia nasus	エツ
Coilia nasus	エツ
Coilia nasusu	エツ
Coilodesme japonica	エゾフクロ
Coincya monensis cheiranthos	キバナスズシロモドキ
Coitocaecum plagiorchis	コイトカエクム・プラギオルキス
Coius microlepis	ダトニオ
Coix agrestis	ハトムギ
Coix lachryma-jobi	ジュズダマ
Coix lachryma-jobi var. ma-yuen	ハトムギ
Coix lachryma-jobi var. mawyuen	ハトムギ
Coix lachryma-jobi var. maxima	オニジュズダマ
Coix lachryma-yobi	ハトムギ
Coix lacryma jobi	ジュズダマ
Coix lacryma-jobi	シュズダマ
Coix lacryma-jobi var. framentacea	ハトムギ
Coix lacryma-jobi var. lacryma-jobi	ジュズダマ
Coix lacryma-jobi var. ma-yuen	シコクムギ
Coix lacryma-jobi var. mayuen	ハトムギ
Colanthura nigra	クロアシタラズウミナナフシ
Colanthura setouchiensis	セトウチアシタラズウミナナフシ
Colaptes atricollis	ノドグロシマオゲラ
Colaptes auratus	ハシボソキツツキ
Colaptes campestris	アリツカゲラ
Colaptes fernandinae	キューバハシボソキツツキ
Colaptes melanochloros	アオシマオゲラ
Colaptes pitius	チリーアレチゲラ
Colaptes punctigula	ヒメシマオゲラ
Colaptes rupicola	アンデスアレチゲラ
Colaspoides fulva	シャシャンボサルハムシ
Colaspoides fulvus	シャシャンポサルハムシ
Colaspoides japanus	ミドリサルハムシ
Colasposoma auripenne	オキナワイモサルハムシ
Colasposoma dauricum	イモサルハムシ
Colasposoma daurieum	イモサルハムシ
Colbicula japonica	ヤマトシジミ
Colbicula japonica sadoensis	サドシジミ
Colbicula leana	マシジミ
Colbicula leana awajiensis	アワジシジミ
Colbicula leana straminea	アワジシジミ
Colbicula sandai	セタシジミ
Colbicula sandai viola	ムササキシジミ
Colchicum autumnale	イヌサフラン
Colculum monstrosum	サカサリュウキュウアオイ
Colenis grandis	オオヒメタマキノコムシ
Colenis strigoslus	チャイロヒメタマキノコムシ
Colenis strigosula	チャイロヒメタマキノコムシ
Colenis terrena	オチバヒメタマキノコムシ
Coleocentrus incertus	コンボウケンヒメバチ
Coleophora hsiaolinqensis	カラマツツツミノガ
Coleophora levantis	ナラツツミノガ
Coleophora ringoniella	リンゴピストルミノガ
Coleophora sosisperma	アカザフシガ
Coleophysis concentrica	コウシボリコメツブ
Coleophysis minima	ヒメコメツブガイ
Coleophysis succincta	ヘコミツララガイ
Coleophysis succinctus	ヘコミツララガイ
Coleophysis waughiana	ハナカゴコメツブガイ
Coleosporium clematidis	センニンソウ・サビ病菌
Coleosporium clerodendri	クサギ・サビ病菌
Coleosporium solidaginis	セイタカアワダチソウ・サビ病菌
Coleps hirtus	コレプス・ヒルツス
Coleura afra	アフリカサシオコウモリ
Coleura seychellensis	セーシェルサシオコウモリ
Coleus blumei	キンランジソ
Coleus formosana	ケサヤバナ
Coleus formosanus	ケサヤバナ
Coleus scutellarioides	キンランジソ
Colias aias	ミヤマモンキチョウ
Colias erata formosana	モンキチョウ
Colias erate	モンキチョウ
Colias erate formosa	モンキチョウ
Colias erate poliographus	モンキチョウ
Colias erate poliographys	モンキチョウ
Colias erate polyographus	モンキチョウ
Colias fieldii	ダイダイモンキチョウ
Colias hyale hyale	ヨーロッパモンキチョウ
Colias palaeno	ミヤマモンキチョウ
Colias palaeno aias	ミヤマモンキチョウ
Colias palaeno sugitanii	ミヤマモンキチョウ
Colias polaeno aias	ミヤマモンキチョウ
Colias poliographus	モンキチョウ
Colias poliogrraphus	モンキチョウ
Colibri coruscans	アオミミハチドリ
Colibri delphinae	チャイロハチドリ
Colibri serrirostris	シロハラハチドリ
Colibri thalassinus	ミドリハチドリ
Colies aias	ミヤマモンキチョウ
Colimella edertula	ナガナタネガイ
Colina abnormalis	カタワカニモリ
Colina macrostoma	エビガイ
Colinauropus shelleri	ニホンフイリエダヒゲムシ
Colinus cristatus	カンムリコリン
Colinus leucopogon	ノドジロコリン
Colinus nigrogularis	ノドグロコリン
Colinus virginianus	コリンウズラ
Colioascerus fluviatilis	キアシヒラタヒサゴコメツキ
Colioascerus saxatilis	ヒラタヒサゴコメツキ
Colisa fasciata	コリサ・ファスキアータ
Colius castanotus	コシアカネズミドリ
Colius colius	セジロネズミドリ
Colius indicus	アカガオネズミドリ
Colius leucocephalus	シロガシラネズミドリ
Colius macrourus	アオエリネズミドリ
Colius striatus	チャイロネズミドリ
Collaria arcyrionema	ツヤエリホコリ
Collaria arcyrionema var. japonica	ウスゲツヤエリホコリ
Collaria elegans	クロエリホコリ
Collaria elegans var. pallens	ウスイロエリホコリ
Collaria lurida	エダウチエリホコリ
Collaria rubens	アカエリホコリ
Collema auriforme	オオイシバイイワノリ
Collema coccophyllum	コツブイワノリ
Collema complanatum	カワホリゴケ
Collema idzuense	イズカワホリゴケ
Collema japonicum	ヤマトイワノリ
Collema latzelii	ウスバイシバイイワノリ
Collema leptaleum	イズカワホリゴケ
Collema nigrescens	イワノリ
Collema nipponicum	アツバイシバイイワノリ
Collema pulcellum	コブクレカワホリゴケ
Collema shiroumanum	シロウマイワノリ
Collema subconveniens	ウスバカワホリゴケ
Collema subflaccidum	トゲカワホリゴケ
Collema subfurvum	トゲカワホリゴケ
Collema tenax	イシバイイワノリ
Collema tenax var. ceranoides	イシバイイワノリ
Collema undulatum	ナミガタイシバイイワノリ
Collemopsidium halodytes	イソシズミゴケ
Collemopsidium japonicum	タニガワシズミゴケ
Collemopsidium sublitorale	シズミゴケ
Colletes collaris	オオムカシハナバチ
Colletes esakii	エサキムカシハナバチ
Colletes patellatus	アシブトムカシハナバチ
Colletes perforator	オオムカシハナバチ
Colletosia radiata	ハナヨロイコケムシ
Colletotrichum hsienjenchang	コレトトリクム・フシエンジェンチャング
Collibia subsulphurea	コガネカレバタケ
Collichthys lucidus	カンダリ
Collichthys lucidus	カンダリ
Collichthys niveatus	メブトカンダリ
Collichthys niveatus	メブトカンダリ
Collimonas fungivorans	コリモナス・フンギボランス
Collinsella aerofaciens	コリンゼラ・アエロファシエンス
Collinsella intestinalis	コリンゼラ・インテスティナリス
Collinsella stercoris	コリンゼラ・スターコリス
Collinsiella cava	シワランソウモドキ
Collinsiella tuberculata	ランソウモドキ
Collinsonia japonica	シモバシラ
Collisella cassis	シロガイ
Collisella dorsuosa	カモガイ
Collisella emydia	ベッコウシロガイ
Collisella grata	カモガイ
Collisella heroldi	コガモガイ
Collisella langfordi	キクコザラ
Collisella langfordii	キクコザクラガイ
Collisella oyamai	ヤヨイハナガサ
Collisella sentum	タテガサ
Collisella sybaritica	エゾノハナガサ
Collisella testudinalis emydia	ベッコウシロガサガイ
Colliuris aegrota	ハネアカヒラナガゴミムシ
Colliuris fusipennis	アトモンヒラナガゴミムシ
Collix stellata	テングナミシャク
Collocalia brevirostris	ヒマラヤアナツバメ
Collocalia elaphra	セイシェルアナツバメ
Collocalia esculenta	シロハラアナツバメ
Collocalia francica	ショクヨウアナツバメ
Collocalia fuciphaga	ジャワアナツバメ
Collocalia gigas	オニアナツバメ
Collocalia hirundinacea	ヤマアナツバメ
Collocalia inquieta	カロリンアナツバメ
Collocalia leucophaea	タヒチアナツバメ
Collocalia marginata	フィリピンシロハラアナツバメ
Collocalia maxima	オオアナツバメ
Collocalia nuditarsus	パプアヤマアナツバメ
Collocalia ocista	マルケサスアナツバメ
Collocalia orientalis	ガダルカナルアナツバメ
Collocalia papuensis	パプアカワアナツバメ
Collocalia salangana	コケアナツバメ
Collocalia sawtelli	クックアナツバメ
Collocalia spodiopygia	コシジロアナツバメ
Collocalia troglodytes	コビトアナツバメ
Collocalia unicolor	インドショクヨウアナツバメ
Collocalia vanikorensis	ムジアナツバメ
Collocalia whiteheadi	フィリピンアナツバメ
Collocardia guttata	オフクハマグリ
Colloderma oculatum	メダマホコリ
Colloderma robustum	オオメダマホコリ
Collomia cavanillesii	ヤナギハナシノブ
Collonista amakusaensis	シラタマザンショウ
Collonista costulosa	ムラサキサンショウスガイ
Collonista costulosus	ムラサキサンショウスガイ
Collonista glareosa	コダマサンショウスガイ
Collonista glareosus	コダマサンショウスガイ
Collophrys ferrea	コツバメ
Collophrys ferrea ferrea	コツバメ
Collotheca cornuta	ハナビワムシ
Collozum inerme	コロズム・イネルメ
Colluricincla boweri	ムナフモズツグミ
Colluricincla harmonica	ハイイロモズツグミ
Colluricincla megarhyncha	チャイロモズツグミ
Colluricincla tenebrosus	モリモズ
Colluricincla woodwardi	チャバラモズツグミ
Collybia acervata	カブベニチャ
Collybia butyracea	エセオリミキ
Collybia confluens	アマタケ
Collybia conigena	マツカサシメジ
Collybia cookei	タマツキカレバタケ
Collybia dryophila	モリノカレバタケ
Collybia dryopila	モリノカレバタケ
Collybia effusa	ヒロハアマタケ
Collybia incephala	ニオイカレバタケ
Collybia iocephala	ニオイカレバタケ
Collybia maculata	アカアザタケ
Collybia neofusipes	アカチャツェタケ
Collybia peronata	ワサビカレバタケ
Collybia velutipes	エノキタケ
Collyris loochooensis	ヤエヤマクビナガハンミョウ
Coloabis saira	サンマ
Colobaspis japonica	カタビロハムシ
Colobaspis japonicus	カタビロハムシ
Colobicus hirtus	ヒラタホソカタムシ
Colobocentrotus mertensi	ジンガサウニ
Colobocentrotus mertensii	ジンガサウニ
Colobochyla salicalis	キンスジアツバ
Colobodes konoi	ウスモントゲトゲゾウムシ
Colobodes matsumurai	シロモントゲトゲゾウムシ
Colobodes ornatus	ワモントゲトゲゾウムシ
Colobometra discolor	アカイボアシウミシダ
Colobometra perspinosa	イボアシウミシダ
Colobonema typicum	ニジクラゲ
Colobus angolensis	アンゴラクロシロコロブス
Colobus badius	アカコロブス
Colobus guereza	アビシニアコロブス
Colobus kirki	キルクコロブス
Colobus polykomos	キングコロブス
Colobus satanas	サタニッククロコロブス
Colocasia esculenta	サトイモ
Colocasia jezoensis	ネグロケンモン
Colocasia umbrosa	ヒメネグロケンモン
Colocasidia albifera	ソトシロフヨトウ
Colocasodia albifera	ソトシロフヨトウ
Coloconger japonicus	バケフサアナゴ
Coloconger japonicus	バケフサアナゴ
Coloconger meadi	ミツフサアナゴ
Coloconger raniceps	フサアナゴ
Coloconger raniceps	フサアナゴ
Cololabis saira	サンマ
Cololabis saira	サンマ
Cololejeunea appressa	ヒラヨウジョウゴケ
Cololejeunea denticulata	イボケクサリゴケ
Cololejeunea floccosa	ケヨウジョウゴケ
Cololejeunea formosana	キララヨウジョウゴケ
Cololejeunea goebelii	ヨウジョウゴケ
Cololejeunea horikawana	ホリカワキララゴケ
Cololejeunea japonica	ヤマトヨウジョウゴケ
Cololejeunea kodamae	トサノケクサリゴケ
Cololejeunea lanciloba	オオスミヨウジョウゴケ
Cololejeunea longifolia	ヒメクサリゴケ
Cololejeunea macounii	イボヒメクサリゴケ
Cololejeunea minutissima	マルバヒメクサリゴケ
Cololejeunea nakajimae	ナカジマヒメクサリゴケ
Cololejeunea nipponica	ヤマトケクサリゴケ
Cololejeunea ornata	ヤマナカヨウジョウゴケ
Cololejeunea ornata japonica	ヤマナカヨウジョウゴケ
Cololejeunea oshimensis	オオシマヨウジョウゴケ
Cololejeunea peraffinis	ジャバヨウジョウゴケ
Cololejeunea planissima	ミヤジマヨウジョウゴケ
Cololejeunea pseudofloccosa	オビナショウジョウゴケ
Cololejeunea raduliloba	ナガシタバヨウジョウゴケ
Cololejeunea shikokiana	シコクヒメクサリゴケ
Cololejeunea sigmoidea	エスジヨウジョウゴケ
Cololejeunea spinosa	ウニバヨウジョウゴケ
Cololejeunea stylosa	オキナワキララゴケ
Cololejeunea subkodamae	タチバヨウジョウゴケ
Cololejeunea yoshinagana	ヨシナガキララゴケ
Colomenia bullosa	ワタモ
Colomenia sinuosa	フクロノリ
Colomys goslingi	アフリカミズネズミ
Colonia colonus	シラガフタオタイランチョウ
Colorado tick fever virus	コロラドチック熱ウイルス
Colossendeis colossea	ベニオオウミグモ
Colossoma macropomum	コロッソーマ
Colotois pennaria	カバエダシャク
Colotois pennaria ussuriensis	カバエダシャク
Colpidium colpidium	コルピディウム・コルピディウム
Colpoda cucullus	コルポダ・ククルス
Colpodes aequatus	ウスグロモリヒラタゴミムシ
Colpodes amagisanus	アマギモリヒラタゴミムシ
Colpodes amphinomus	コモリヒラタゴミムシ
Colpodes atricomes	クロモリヒラタゴミムシ
Colpodes aulelius	チビモリヒラタゴミムシ
Colpodes aurelius	チビモリヒラタゴミムシ
Colpodes aurelius aurelius	チビモリヒラタゴミムシ
Colpodes bentonis	ベントンモリヒラタゴミムシ
Colpodes buchanani	オオアオモリヒラタゴミムシ
Colpodes bunchannai	オアオモリヒラタゴミムシ
Colpodes daisetsuzanus	ダイセツモリヒラタゴミムシ
Colpodes ehikoensis	ヒコサンモリヒラタゴミムシ
Colpodes elainus	ヤセモリヒラタゴミムシ
Colpodes elainus elainus	ヤセモリヒラタゴミムシ
Colpodes hakonus hakonus	ハコネモリヒラタゴミムシ
Colpodes hakonus takachihoi	ハコネモリヒラタゴミムシ
Colpodes hirashimai	ヤクシマヒラタゴミムシ
Colpodes integratus	ムラサキモリヒラタゴミムシ
Colpodes iriomotensis	イリオモテモリヒラタゴミムシ
Colpodes japonicus	ハラアカモリヒラタゴミムシ
Colpodes kyushuensis	チャイロホソモリヒラタゴミムシ
Colpodes kyushuensis hondonus	チャイロホソモリヒラタゴミムシ
Colpodes lampros	コハラアカモリヒラタゴミムシ
Colpodes lepida	キガシラアオアトゴミムシ
